tree,leafno,median,mean,width,sum,kurt,skew
Phy000CXDB_YEAST,10,0.2575145,0.26289060000000003,0.331988,2.6289059999999997,-1.0473998178897173,0.029540616289815403
Phy000CWI8_YEAST,12,0.170794,0.16217391666666667,0.206766,1.946087,-0.6914075664368142,-0.5573429898233011
Phy000CY3M_YEAST,12,0.27164,0.2759744166666666,0.38968400000000003,3.3116929999999996,0.5266533784389855,0.14767349507130187
Phy000CXWU_YEAST,16,0.4290595,0.5428273124999999,0.899378,8.685237,-1.2027330471917543,0.7057049301540169
Phy000CVWD_YEAST,12,0.394734,0.35533475,0.433088,4.264017,0.0423880572115638,-1.1174627801607118
Phy000CYER_YEAST,9,0.7028730000000001,0.7882571111111111,1.290969,7.094314000000001,-0.2614148189526113,1.1833228802545708
Phy000CVKB_YEAST,10,0.5759485,0.6227836,0.838239,6.227836,-0.7403882007159277,0.190795182562562
Phy000CWKF_YEAST,13,0.8021039999999999,0.779774076923077,1.337224,10.137063000000001,0.4017374225221939,0.6978211636649406
Phy000CVK8_YEAST,13,0.28286,0.3880272307692308,1.2267569999999999,5.044354,5.117696910196431,2.462609335983897
Phy000CVYK_YEAST,19,0.604069,0.5844281052631579,0.717951,11.104133999999998,-1.1364267809551991,-0.2734350974034878
Phy000CWOS_YEAST,20,1.1042765,1.19228455,1.7309130000000001,23.845691000000006,-1.2647081138858856,0.0033381408246759173
Phy000D044_YEAST,20,0.723562,0.7413877999999999,1.0026169999999999,14.827756000000003,-1.508524345054882,-0.044081767720173894
Phy000CZ05_YEAST,13,0.538636,0.5181601538461538,0.610225,6.736082,6.599328027919693,-2.7790871737512215
Phy000CXO9_YEAST,12,0.47283650000000005,0.40721041666666663,0.6292960000000001,4.886525,-1.168518649724102,-0.3338115840965873
Phy000CXY9_YEAST,15,1.3909230000000001,1.3576616666666663,1.672656,20.364924999999996,-0.5474911037194348,-0.2736505164405599
Phy000CYIN_YEAST,9,0.876027,0.8874078888888889,0.970292,7.986670999999999,-0.9531816139331482,-0.06880312403281821
Phy000CXIX_YEAST,12,0.432561,0.3745459999999999,0.49836899999999995,4.494551999999999,-1.1419143301354335,-0.7213242627258822
Phy000CZD2_YEAST,12,0.43908800000000003,0.4942514999999999,0.7056479999999999,5.931017999999999,-1.0822261473242771,0.47240646778199574
Phy000CZIR_YEAST,11,0.465047,0.499051,0.7682800000000001,5.489561,0.10371396904136043,0.38404770676158084
Phy000CZN0_YEAST,12,0.4331195,0.4447959166666667,0.580886,5.337551,-1.0982236770831326,-0.3141956869633244
Phy000CYAG_YEAST,12,0.6597360000000001,0.6355268333333335,1.016471,7.626322000000002,0.8856691267276529,0.48060305108987467
Phy000CW8M_YEAST,12,0.334806,0.30723591666666666,0.370829,3.686831,-0.16261313093582075,-1.1108109612752235
Phy000CWWE_YEAST,12,0.5707985,0.5997659166666666,0.802171,7.197190999999999,1.3487054504429414,1.4079662744379065
Phy000CWD1_YEAST,11,1.163021,1.2679542727272728,2.406558,13.947497,-0.3603036170079785,1.0013203123355674
Phy000CW9K_YEAST,11,0.740377,0.8242128181818181,1.5158019999999999,9.066341000000001,-1.1823253292434828,0.36163584473400556
Phy000CZSF_YEAST,19,0.567133,0.5709541578947368,0.8564640000000001,10.848128999999998,1.0439959295337884,0.8345459516879676
Phy000CZAR_YEAST,11,0.388774,0.39112272727272723,0.538817,4.30235,-1.298579780759539,0.2523644261747058
Phy000CWZA_YEAST,12,0.40026799999999996,0.38809441666666666,0.481212,4.657133,1.3113377557158152,-1.1757830841616326
Phy000CXFM_YEAST,12,0.5855425,0.61476925,0.83681,7.377231,-0.5807546625975997,0.8395661890922756
Phy000D0L1_YEAST,12,0.1645465,0.1854788333333333,0.274447,2.2257459999999996,-1.727914111052059,0.16963926501967866
Phy000CZ5S_YEAST,12,0.6360445,0.6450923333333334,0.882382,7.7411080000000005,0.8869037193491853,0.811903154635201
Phy000CY5U_YEAST,12,0.578406,0.5813985833333334,1.034883,6.976783,2.627250357067296,1.1829076419921705
Phy000CYRL_YEAST,12,0.424443,0.38325441666666665,0.478315,4.599053,-0.6142702756617,-0.7596016168795997
Phy000D03Y_YEAST,12,0.4728505,0.47076524999999997,0.601762,5.649183,-0.7685494220075095,0.2300661979039678
Phy000CYQ9_YEAST,11,0.7173060000000001,0.7006935454545457,0.98725,7.707629000000001,0.4946347678067413,0.6152180910222631
Phy000CWSB_YEAST,12,0.4628895,0.5158085,1.096187,6.1897020000000005,-0.38045433554251007,0.757073951711058
Phy000CWOP_YEAST,15,0.08635899999999999,0.07021839999999999,0.129839,1.0532759999999999,-0.13909697865770543,-0.28515090073919264
Phy000CXMK_YEAST,13,0.4375,0.4313778461538462,0.561935,5.607912000000001,-0.06758466113774153,-0.4091436116363111
Phy000CX48_YEAST,8,0.7300335,0.8585085,1.393621,6.868067999999999,-0.2191617407087092,1.2516827989936599
Phy000D02Q_YEAST,25,0.6869449999999999,0.7060138400000001,1.069856,17.650346,-0.6848510701786577,0.18659393875207267
Phy000CXVB_YEAST,13,0.321348,0.3756916923076924,0.734885,4.883992000000001,1.7551634233055857,1.2037368858828972
Phy000CWM6_YEAST,12,0.238987,0.24382258333333331,0.33769200000000005,2.9258710000000003,1.50814720742647,-1.0168376328190882
Phy000CZKA_YEAST,12,0.5779565,0.5568689166666667,0.69723,6.682427000000001,-1.1036877389481738,-0.19270846622645602
Phy000CXEW_YEAST,17,0.062159,0.06288529411764707,0.081424,1.0690499999999998,-0.46100832792108193,0.4057432902374417
Phy000CWQ4_YEAST,18,0.7595719999999999,0.7712665555555556,1.049475,13.882797999999998,-0.4181422740287326,0.41661287350222853
Phy000CVJW_YEAST,9,0.312645,0.32008844444444445,0.46128499999999995,2.880796,-0.6049805984469661,0.8337070069406652
Phy000CVOV_YEAST,17,1.163749,1.0815249411764707,1.2980080000000003,18.385924000000003,0.2013487812188961,-1.1796367279293787
Phy000CVZX_YEAST,12,1.0781695,1.0237686666666665,1.2662019999999998,12.285224,-0.632127834020427,-0.7451003712443363
Phy000CYET_YEAST,12,0.4005875,0.421065,0.942523,5.052779999999999,4.167923498585611,2.0764023743903217
Phy000CW2R_YEAST,12,0.320502,0.33229250000000005,0.795343,3.9875100000000008,3.894686413918075,2.0405071945208784
Phy000CXBN_YEAST,12,0.7378475000000001,0.7980004166666667,1.0680749999999999,9.576005,-1.016560785790299,0.6205196871797376
Phy000CVX9_YEAST,12,0.691277,0.6773189166666667,0.8666480000000001,8.127827,0.24809421934317033,-0.7031096360544082
Phy000CXQ9_YEAST,11,0.47134,0.5208051818181818,0.7302250000000001,5.728857,-0.8255217650289319,0.5861551043770091
Phy000CYI3_YEAST,9,0.113748,0.12622088888888888,0.157021,1.135988,-1.2717902199186224,0.46161041094512073
Phy000D0I6_YEAST,12,0.6841275,0.7018795833333332,0.853394,8.422555,0.16515681804320215,0.59214689306762
Phy000D02D_YEAST,9,0.495823,0.46224100000000007,0.525689,4.160169000000001,-1.5702932814208936,-0.34574509214167565
